gene	YPA_WT_pre_shift.TE	YPA_4Gts_pre_shift.TE	YPA_WT_0h.TE	YPA_4Gts_0h.TE	YPA_WT_2h.TE	YPA_4Gts_2h.TE
YBR207W	1.007506623	0.762283198	0.984843311	0.753998447	0.674347815	0.853365686
YDR532C	0.681985692	1.116805383	1.097674209	1.222304371	0.819079714	0.828963889
YKL210W	1.74042199	1.689739058	1.662614385	1.565659653	2.178701601	2.753158729
YER146W	2.769515867	2.707747459	2.529478415	2.226671651	1.686305538	3.420792455
YHR159W	0.986674558	0.98310333	0.990102137	0.986823692	1.018295305	1.24769495
YPL132W	0.83183147	0.757708908	1.078617365	0.786494657	0.852760694	0.485944349
YIL114C	1.090209751	0.927221667	1.562260004	0.694051885	0.737009351	1.337711971
YJL157C	0.757522701	0.641337795	0.709752911	0.679329519	0.707167769	0.576151437
YMR301C	0.846571572	0.856251288	0.610700246	0.696131442	0.683215683	0.891759576
YER022W	0.891920789	0.847995275	0.79920606	1.00001959	0.777607324	0.959783322
YBR140C	0.285197317	0.259143209	0.268807091	0.276948167	0.298728913	0.175854408
YKR070W	1.445179395	1.194563292	1.574608376	1.45938715	1.579667708	1.00358072
YMR205C	1.473148479	1.511505541	1.583799007	1.345258065	1.954224916	1.726544173
YNL022C	1.136618428	1.052048239	1.569331096	0.9708589	0.81120764	0.992290941
YML017W	1.335216578	1.337366998	1.116327083	1.104756037	1.958708624	1.751506731
YKR087C	0.901847606	0.81525642	0.825676997	1.030557432	0.683930652	1.026786176
